time/total_timesteps,time/iterations,time/fps,time/time_elapsed,train/clip_range,train/entropy_loss,train/approx_kl,train/loss,train/explained_variance,train/value_loss,train/policy_gradient_loss,train/learning_rate,train/clip_fraction,train/n_updates,eval/mean_ep_length,eval/mean_reward
1228800,100,737,1665,0.2,-0.01994713463467027,0.002862564,129.58119201660156,0.9944175481796265,269.7534647425016,0.00016172134637599812,0.0003,0.0108154296875,990,,
1241088,101,738,1681,0.2,-0.013998615016438029,0.014184643,89.0389404296875,0.9952432513237,169.2317020912965,0.008609320428755987,0.0003,0.0186279296875,1000,,
1253376,102,738,1696,0.2,-0.01799351950151807,0.18823576,35.53729248046875,0.9980646371841431,108.44864164839188,0.000341018720791908,0.0003,0.024845377604166666,1010,,
1260000,,,,0.2,-0.019760402291437155,0.0032371134,83.64479064941406,0.9889430403709412,212.36135047475497,0.0023414184792879193,0.0003,0.013338216145833333,1020,8760.0,76764.30191788674
1265664,103,735,1720,,,,,,,,,,,,
1277952,104,736,1734,0.2,-0.020406580531198416,0.0008602243,93.03206634521484,0.9774498343467712,1568.4039894064267,-6.906005461739065e-05,0.0003,0.008162434895833333,1030,,
1290240,105,737,1749,0.2,-0.02088217834458798,0.0035206974,133.6920166015625,0.9940534830093384,205.63589578270913,0.0030377206652095388,0.0003,0.017293294270833332,1040,,
1302528,106,737,1765,0.2,-0.021768057933665357,0.0018033223,58.27670669555664,0.9970231652259827,153.72236247857413,0.003859342875512084,0.0003,0.012459309895833333,1050,,
1314816,107,738,1780,0.2,-0.029827759005032324,0.0017151042,84.36507415771484,0.9960044026374817,183.5971624771754,0.00035857430411851966,0.0003,0.0127197265625,1060,,
1320000,,,,0.2,-0.02925413052265261,0.0026308727,110.65995788574219,0.9954580664634705,241.71556645234426,-0.0005007974274728136,0.0003,0.013802083333333333,1070,8276.2,70905.81949253082
1327104,108,735,1804,,,,,,,,,,,,
1339392,109,736,1819,0.2,-0.012569126585003688,0.41512537,57.11132049560547,0.9960129261016846,146.2152921338876,0.010650626292044763,0.0003,0.04430338541666667,1080,,
1351680,110,736,1834,0.2,-0.04011217535777784,0.16474277,38.8779411315918,0.990277111530304,57.211933953563374,-0.0017930986015320136,0.0003,0.064599609375,1090,,
1363968,111,737,1849,0.2,-0.04126310906394792,0.00388076,974.2438354492188,0.9796680808067322,1373.4046887497107,-0.0004213349908241071,0.0003,0.0185302734375,1100,,
1376256,112,738,1864,0.2,-0.03143533344082243,0.0025001206,125.9218521118164,0.9942758083343506,159.46990125179292,1.7951163075243435e-05,0.0003,0.013484700520833334,1110,,
1380000,,,,0.2,-0.04886371734276811,0.0059386003,68.97015380859375,0.9913936853408813,273.50788342158,0.0010281625557884884,0.0003,0.018603515625,1120,8760.0,76808.93441245556
1388544,113,734,1890,,,,,,,,,,,,
1400832,114,735,1905,0.2,-0.039277656692987266,0.0031794885,64.7804183959961,0.9965053200721741,155.71780525048572,0.003876550580753246,0.0003,0.020353190104166665,1130,,
1413120,115,736,1919,0.2,-0.027606473438208923,0.0027151604,49.27524185180664,0.9972518086433411,138.61577842235565,-0.0009009014055967175,0.0003,0.015291341145833333,1140,,
1425408,116,736,1935,0.2,-0.021545610320420867,0.0021426287,131.4634552001953,0.9945086240768433,174.53272640307745,-0.00010411148759885691,0.0003,0.010611979166666667,1150,,
1437696,117,737,1949,0.2,-0.02860893799400704,0.0005867909,147.3755340576172,0.9910810589790344,344.8335123459498,0.0014570706737382958,0.0003,0.009586588541666666,1160,,
1440000,,,,0.2,-0.024892906459748097,0.0020781884,64.4569091796875,0.9960393905639648,163.14428012867768,0.0033257434840682737,0.0003,0.015568033854166666,1170,8760.0,76943.89807536601
1449984,118,734,1975,,,,,,,,,,,,
